z,a,symbol,ordering,"energy [keV]",halflife,spin,"magnetic dipole [nm]","electric quadrupole [b]",reference_standard,method,description,citation_01,doi_01,citation_02,doi_02,citation_03,doi_03,citation_04,doi_04,citation_05,doi_05
72,171,Hf,30,22,"29.5 s",1/2-,+0.526(16),,,CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2000YE02,10.1088/0954-3899/26/6/307,,,,,,,,
72,172,Hf,10,95,"1.55 ns",2+,0.50(10),,,IPAC,"Integral Perturbed Angular Correlation",2009BE42,10.1103/PhysRevC.80.057303,,,,,,,,
72,172,Hf,20,&gt;1037.,"~0.5 ps",&gt;6+,"g(avge) = +0.14(4)",,,IMPAC,"Perturbed Angular Correlation after Ion Implantation",1975SK01,10.1016/0375-9474(75)90346-2,,,,,,,,
72,172,Hf,30,1685,"4.8 ns",(6+),+5.6(6),,,TDPAD,"Time Dependent Perturbed Angular Distribution",1980WA23,10.1016/0375-9474(80)90439-X,,,,,,,,
72,172,Hf,40,2006,"163 ns",(8-),+7.96(7),,,TDPAD,"Time Dependent Perturbed Angular Distribution",1980WA23,10.1016/0375-9474(80)90439-X,,,,,,,,
72,173,Hf,10,0,"23.6 h",1/2-,+0.502(7),,"[177,179Hf]",CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1999LE11,10.1103/PhysRevLett.82.2476,,,,,,,,
72,173,Hf,20,1982,"19.5 ns",23/2-,+6.6(2),,,TDPAD,"Time Dependent Perturbed Angular Distribution",1980WA23,10.1016/0375-9474(80)90439-X,,,,,,,,
72,174,Hf,10,1549,"138 ns",(6+),+5.42(5),,,TDPAD,"Time Dependent Perturbed Angular Distribution",1980WA23,10.1016/0375-9474(80)90439-X,,,,,,,,
72,175,Hf,10,0,"70 d",5/2-,-0.677(9),,,LRS,"Laser Resonance Spectroscopy",2002NI12,10.1103/PhysRevLett.88.094801,,,,,,,,
72,175,Hf,20,,,,-0.62(3),,,LRS,"Laser Resonance Spectroscopy",1997JI02,10.1103/PhysRevC.55.1545,,,,,,,,
72,175,Hf,30,,,,0.54(3),,"[178Hf 93.]",NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1986HE10,10.1007/BF01309244,,,,,,,,
72,175,Hf,40,,,,0.58(3),,"[180Hf 93.]",NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1986HE10,10.1007/BF01309244,,,,,,,,
72,175,Hf,50,,,,,+2.72(2),,LRS,"Laser Resonance Spectroscopy",2002NI12,10.1103/PhysRevLett.88.094801,,,,,,,,
72,175,Hf,60,,,,,+2.6(2),,LRS,"Laser Resonance Spectroscopy",1997JI02,10.1103/PhysRevC.55.1545,,,,,,,,
72,175,Hf,70,,,,,+2.8(4),"[178Hf 93.]",NO/S,"Static Nuclear Orientation with gamma detection",1973KA31,10.1016/0370-2693(73)90476-0,,,,,,,,
72,176,Hf,10,88,"1.43 ns",2+,+0.63(6),,[180Hf],IPAC,"Integral Perturbed Angular Correlation",1996AL20,10.1007/s002180050124,,,,,,,,
72,176,Hf,20,,,,+0.54(4),,,CEAD,"Integral Perturbed Angular Distribution after Coulomb Excitation",1968BE04,10.1016/0375-9474(68)90568-X,,,,,,,,
72,176,Hf,30,,,,,-2.10(2),,Mu-X,"Muonic X-ray Hyperfine Structure",1984TA10,10.1103/PhysRevC.30.350,,,,,,,,
72,176,Hf,40,290,"87.9 ps",4+,+1.34(15),,,IPAC,"Integral Perturbed Angular Correlation",1996AL20,10.1007/s002180050124,,,,,,,,
72,177,Hf,10,0,stable,7/2-,+0.7935(6),,,AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1973BU07,10.1016/0370-2693(73)90350-X,1973BU25,10.1007/BF01448975,,,,,,
72,177,Hf,20,,,,,+3.37(3),,Mu-X,"Muonic X-ray Hyperfine Structure",1984TA04,10.1103/PhysRevC.29.1830,,,,,,,,
72,177,Hf,30,,,,,+3.36(3),[179Hf],AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1973BU25,10.1007/BF01448975,,,,,,,,
72,177,Hf,40,113,"537 ps",9/2-,"+1.03(3) d",,,IPAC,"Integral Perturbed Angular Correlation",1996AL20,10.1007/s002180050124,,,,,,,,
72,177,Hf,50,,,9/2-,+0.91(2),,,IPAC,"Integral Perturbed Angular Correlation",1991DE24,10.1103/PhysRevC.44.2213,,,,,,,,
72,177,Hf,70,,,,,1.30(2),,Mu-X,"Muonic X-ray Hyperfine Structure",1984TA10,10.1103/PhysRevC.30.350,,,,,,,,
72,177,Hf,80,250,"105 ps",11/2-,+1.5(5),,"[177Hf 113.]",IPAC,"Integral Perturbed Angular Correlation",1968BR15,10.1139/p68-477,,,,,,,,
